game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__Génétique (éval AB)__seed9200006__Bstart,,B,B,victory,9,"3,0,SQUARE | 1,2,CIRCLE | 2,2,DIAMOND | 2,1,TRIANGLE",2.820752,6.887960,4,5,140,190,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1010007__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,DIAMOND",3.101932,9.404446,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1010008__Bstart,,B,B,victory,9,"2,2,SQUARE | 1,1,CIRCLE | 0,3,TRIANGLE | 3,0,TRIANGLE",2.728731,7.658936,4,5,137,178,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed2020007__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",3.785477,8.978933,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2020008__Bstart,,B,A,victory,10,"1,2,CIRCLE | 2,1,CIRCLE | 0,1,TRIANGLE | 3,2,TRIANGLE",2.814583,8.393411,5,5,149,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030007__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,3,TRIANGLE",3.719799,8.537590,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030008__Bstart,,B,A,victory,10,"2,0,SQUARE | 1,1,CIRCLE | 0,3,CIRCLE | 2,3,TRIANGLE",2.813159,6.729950,5,5,147,188,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4040007__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,TRIANGLE",3.209579,9.936759,4,3,178,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4040008__Bstart,,B,A,victory,8,"1,1,TRIANGLE | 2,2,CIRCLE | 2,3,DIAMOND | 3,0,SQUARE",2.685832,6.546410,4,4,140,174,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5050007__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,2,DIAMOND",3.785229,9.332775,4,3,178,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5050008__Bstart,,B,B,victory,11,"1,1,TRIANGLE | 2,2,CIRCLE | 2,0,SQUARE | 3,2,DIAMOND",2.710959,6.700635,5,6,141,191,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed6060007__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,3,TRIANGLE",3.724106,8.625021,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6060008__Bstart,,B,B,victory,9,"0,3,CIRCLE | 2,1,SQUARE | 3,2,SQUARE | 2,0,CIRCLE",2.807115,6.695831,4,5,140,187,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed7070007__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 2,0,CIRCLE",3.673255,11.508140,4,3,176,117,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7070008__Bstart,,B,B,victory,13,"1,3,TRIANGLE | 2,1,CIRCLE | 2,2,SQUARE | 3,1,DIAMOND",2.735825,6.059353,6,7,150,185,0,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed8080007__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.935291,12.008243,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed8080008__Bstart,,B,A,victory,10,"2,2,TRIANGLE | 1,1,CIRCLE | 1,0,DIAMOND | 0,3,SQUARE",2.745252,6.224559,5,5,149,189,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9090007__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.938096,12.021598,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed9090008__Bstart,,B,A,victory,10,"0,1,CIRCLE | 1,2,CIRCLE | 2,2,SQUARE | 3,3,DIAMOND",2.832755,7.339569,5,5,143,189,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1120007__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 2,0,CIRCLE",3.647541,11.567507,4,3,176,117,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1120008__Bstart,,B,A,victory,10,"3,2,CIRCLE | 1,1,CIRCLE | 2,1,SQUARE | 0,2,SQUARE",2.823972,8.767579,5,5,148,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2130007__Astart,,A,A,victory,13,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.938902,12.112878,7,6,199,154,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2130008__Bstart,,B,A,victory,10,"2,2,CIRCLE | 1,1,CIRCLE | 1,0,DIAMOND | 0,3,SQUARE",2.845645,7.456656,5,5,149,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3140007__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,SQUARE",3.798971,10.079840,4,3,175,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3140008__Bstart,,B,B,victory,11,"3,0,DIAMOND | 1,2,CIRCLE | 1,1,TRIANGLE | 0,2,DIAMOND",2.761707,5.492887,5,6,137,206,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed4150007__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.789919,9.286499,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4150008__Bstart,,B,A,victory,10,"3,0,CIRCLE | 1,2,CIRCLE | 2,2,TRIANGLE | 0,0,TRIANGLE",2.800768,7.224746,5,5,153,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160007__Astart,,A,B,victory,14,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,CIRCLE",3.948465,11.784969,7,7,193,160,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed5160008__Bstart,,B,B,victory,11,"0,0,SQUARE | 2,2,CIRCLE | 2,1,TRIANGLE | 3,2,DIAMOND",2.755106,5.646534,5,6,130,192,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed6170007__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 3,0,TRIANGLE",3.739375,8.725412,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6170008__Bstart,,B,A,victory,8,"2,1,TRIANGLE | 1,2,CIRCLE | 1,3,SQUARE | 0,0,DIAMOND",2.709059,6.240514,4,4,139,174,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7180007__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.939051,12.108353,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed7180008__Bstart,,B,A,victory,12,"2,3,CIRCLE | 1,1,CIRCLE | 1,2,SQUARE | 2,0,SQUARE",2.834681,7.503240,6,6,156,192,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8190007__Astart,,A,B,victory,14,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,CIRCLE",3.950786,11.153042,7,7,193,160,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed8190008__Bstart,,B,B,victory,9,"0,3,TRIANGLE | 2,1,CIRCLE | 1,1,DIAMOND | 2,0,SQUARE",2.758145,5.569742,4,5,130,195,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed9200007__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,TRIANGLE | 3,0,SQUARE | 0,3,DIAMOND",3.785660,9.642181,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9200008__Bstart,,B,B,victory,9,"3,1,TRIANGLE | 2,2,CIRCLE | 1,0,SQUARE | 0,3,TRIANGLE",2.728305,5.901869,4,5,135,188,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1010009__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,3,TRIANGLE",3.721429,8.986518,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1010010__Bstart,,B,A,victory,8,"2,2,TRIANGLE | 1,1,CIRCLE | 1,0,SQUARE | 0,3,DIAMOND",2.784604,6.376665,4,4,140,174,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2020009__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,DIAMOND",3.110412,10.818586,4,3,178,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2020010__Bstart,,B,A,victory,10,"3,0,CIRCLE | 1,2,CIRCLE | 1,1,TRIANGLE | 3,3,TRIANGLE",2.781199,7.194687,5,5,153,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030009__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,0,SQUARE",3.788182,11.553237,4,3,175,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030010__Bstart,,B,A,victory,8,"0,2,CIRCLE | 1,1,CIRCLE | 1,2,TRIANGLE | 2,3,SQUARE",2.856385,7.241722,4,4,142,168,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4040009__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.942812,12.122251,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed4040010__Bstart,,B,B,victory,9,"0,2,TRIANGLE | 1,1,CIRCLE | 2,3,DIAMOND | 3,3,TRIANGLE",2.758864,6.220145,4,5,130,184,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed5050009__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.803544,9.223262,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5050010__Bstart,,B,A,victory,10,"3,3,CIRCLE | 1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE",2.781611,7.416503,5,5,153,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6060009__Astart,,A,B,victory,14,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,CIRCLE",3.953629,11.091770,7,7,193,160,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed6060010__Bstart,,B,B,victory,9,"0,1,TRIANGLE | 2,2,CIRCLE | 1,3,SQUARE | 0,0,SQUARE",2.767660,5.963130,4,5,132,184,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed7070009__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.956206,11.095212,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__Génétique (éval AB)__seed7070010__Bstart,,B,A,victory,10,"1,2,SQUARE | 2,1,CIRCLE | 2,0,TRIANGLE | 3,3,DIAMOND",2.799245,7.817432,5,5,149,189,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8080009__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 2,0,CIRCLE",3.672174,11.289175,4,3,176,117,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8080010__Bstart,,B,A,victory,10,"2,0,TRIANGLE | 1,1,CIRCLE | 1,2,DIAMOND | 0,3,TRIANGLE",2.862945,6.099502,5,5,150,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9090009__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 2,1,SQUARE",3.759837,10.095562,4,3,181,122,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9090010__Bstart,,B,B,victory,9,"2,1,DIAMOND | 1,2,CIRCLE | 3,3,TRIANGLE | 1,1,TRIANGLE",2.711088,6.809104,4,5,135,187,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1120009__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,DIAMOND",3.267930,10.130135,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed1120010__Bstart,,B,B,victory,7,"1,2,DIAMOND | 2,1,CIRCLE | 0,0,TRIANGLE | 3,1,SQUARE",2.535396,6.068652,3,4,122,168,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed2130009__Astart,,A,B,victory,14,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,CIRCLE",3.953899,11.116452,7,7,193,160,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed2130010__Bstart,,B,B,victory,9,"3,3,SQUARE | 1,1,CIRCLE | 1,2,TRIANGLE | 2,2,DIAMOND",2.778341,5.930013,4,5,138,192,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed3140009__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,TRIANGLE",3.358231,10.235465,5,4,189,131,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3140010__Bstart,,B,B,victory,9,"1,1,SQUARE | 2,2,CIRCLE | 3,0,TRIANGLE | 1,2,TRIANGLE",2.758495,7.438387,4,5,140,184,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed4150009__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.940226,12.532528,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed4150010__Bstart,,B,A,victory,10,"3,1,TRIANGLE | 2,2,CIRCLE | 1,2,DIAMOND | 0,3,TRIANGLE",2.770434,5.537036,5,5,150,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160009__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 2,3,CIRCLE",3.792025,10.608330,4,3,179,119,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160010__Bstart,,B,B,victory,9,"2,3,TRIANGLE | 1,1,CIRCLE | 1,2,DIAMOND | 3,2,SQUARE",2.768111,5.634197,4,5,136,189,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed6170009__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,3,TRIANGLE",3.725251,9.177796,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6170010__Bstart,,B,A,victory,10,"3,0,CIRCLE | 1,2,CIRCLE | 2,2,SQUARE | 0,0,SQUARE",2.803721,7.340455,5,5,153,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7180009__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 2,0,DIAMOND",3.785472,8.753100,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7180010__Bstart,,B,B,victory,11,"3,0,DIAMOND | 1,2,CIRCLE | 2,2,SQUARE | 0,3,DIAMOND",2.870745,5.289337,5,6,141,189,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed8190009__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.785613,9.140416,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8190010__Bstart,,B,A,victory,8,"0,2,TRIANGLE | 1,1,CIRCLE | 2,1,DIAMOND | 3,0,TRIANGLE",2.959903,5.714118,4,4,129,174,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9200009__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 3,0,TRIANGLE",3.741813,8.966362,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9200010__Bstart,,B,B,victory,9,"0,1,SQUARE | 2,2,TRIANGLE | 1,2,CIRCLE | 2,3,SQUARE",2.726697,5.679058,4,5,130,195,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1010011__Astart,,A,B,victory,14,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,CIRCLE",3.950723,11.009505,7,7,193,160,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1010012__Bstart,,B,B,victory,9,"3,2,SQUARE | 1,1,CIRCLE | 2,1,TRIANGLE | 2,3,DIAMOND",2.725007,6.457356,4,5,136,187,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed2020011__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.789573,8.510571,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2020012__Bstart,,B,A,victory,10,"2,0,DIAMOND | 1,1,CIRCLE | 1,2,SQUARE | 0,3,DIAMOND",2.753493,5.957613,5,5,150,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3030011__Astart,,A,B,victory,12,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 3,1,SQUARE",3.936714,12.007232,6,6,191,158,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed3030012__Bstart,,B,A,victory,12,"2,0,CIRCLE | 1,1,CIRCLE | 2,1,DIAMOND | 3,2,SQUARE",2.914748,6.915019,6,6,161,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4040011__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 2,0,DIAMOND",3.795773,9.493290,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4040012__Bstart,,B,A,victory,8,"0,1,DIAMOND | 1,2,CIRCLE | 2,2,SQUARE | 3,3,DIAMOND",2.695376,5.920187,4,4,140,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5050011__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,SQUARE | 0,3,SQUARE | 3,3,DIAMOND",3.120608,9.893765,4,3,179,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5050012__Bstart,,B,A,victory,10,"2,1,DIAMOND | 1,2,CIRCLE | 0,0,CIRCLE | 0,1,TRIANGLE",2.749385,6.266648,5,5,143,188,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6060011__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 0,3,CIRCLE",3.138026,11.325770,5,4,188,137,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6060012__Bstart,,B,B,victory,15,"2,0,DIAMOND | 1,1,CIRCLE | 3,2,TRIANGLE | 2,3,SQUARE",2.821818,6.446436,7,8,142,197,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed7070011__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,1,SQUARE",3.088153,9.709959,4,3,177,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7070012__Bstart,,B,A,victory,8,"2,2,DIAMOND | 1,1,CIRCLE | 0,0,TRIANGLE | 0,2,SQUARE",2.849396,6.031295,4,4,141,175,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8080011__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE | 3,0,TRIANGLE",3.746279,9.131650,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8080012__Bstart,,B,B,victory,13,"0,3,TRIANGLE | 2,1,CIRCLE | 1,1,SQUARE | 1,2,DIAMOND",2.756971,5.881860,6,7,140,196,1,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed9090011__Astart,,A,A,victory,13,"1,1,CIRCLE | 2,2,CIRCLE | 0,2,SQUARE | 2,1,SQUARE",3.938898,12.287731,7,6,199,154,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9090012__Bstart,,B,B,victory,9,"2,2,SQUARE | 1,1,CIRCLE | 3,1,TRIANGLE | 1,0,DIAMOND",2.795414,6.771296,4,5,132,188,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed1120011__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.959992,11.526596,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__Génétique (éval AB)__seed1120012__Bstart,,B,A,victory,10,"3,1,TRIANGLE | 2,2,CIRCLE | 1,2,SQUARE | 0,3,TRIANGLE",2.753240,6.428326,5,5,150,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed2130011__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.957454,11.154937,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__Génétique (éval AB)__seed2130012__Bstart,,B,A,victory,10,"1,0,TRIANGLE | 2,1,CIRCLE | 2,2,SQUARE | 3,3,TRIANGLE",2.771139,6.244411,5,5,150,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3140011__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.789394,9.720637,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed3140012__Bstart,,B,A,victory,10,"2,0,SQUARE | 1,1,CIRCLE | 1,2,DIAMOND | 0,3,SQUARE",2.780773,6.391084,5,5,150,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed4150011__Astart,,A,B,no_move,12,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 3,3,CIRCLE",3.961103,11.666285,6,6,193,158,0,0,0,0,0,0
AlphaBeta++__vs__Génétique (éval AB)__seed4150012__Bstart,,B,A,victory,10,"3,0,CIRCLE | 1,2,CIRCLE | 2,2,SQUARE | 0,0,SQUARE",2.789369,7.123327,5,5,153,185,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160011__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 0,3,CIRCLE",3.175941,10.972199,5,4,186,133,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed5160012__Bstart,,B,B,victory,9,"2,3,TRIANGLE | 1,1,CIRCLE | 1,2,SQUARE | 3,2,DIAMOND",2.727636,5.197167,4,5,136,192,0,0,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed6170011__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.785744,9.172964,4,3,175,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed6170012__Bstart,,B,B,victory,15,"2,1,DIAMOND | 1,2,CIRCLE | 3,2,SQUARE | 0,3,TRIANGLE",2.880925,6.571403,7,8,143,206,1,1,0,0,1,0
AlphaBeta++__vs__Génétique (éval AB)__seed7180011__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,1,DIAMOND | 3,0,SQUARE | 0,3,TRIANGLE",3.725529,9.130265,4,3,176,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed7180012__Bstart,,B,A,victory,8,"3,1,SQUARE | 2,2,TRIANGLE | 1,2,DIAMOND | 0,3,SQUARE",2.697416,6.128997,4,4,137,173,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8190011__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,SQUARE",3.796330,10.366435,4,3,177,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed8190012__Bstart,,B,A,victory,8,"1,2,DIAMOND | 2,1,CIRCLE | 3,1,TRIANGLE | 0,0,SQUARE",2.715007,5.904263,4,4,139,174,0,0,0,0,0,1
AlphaBeta++__vs__Génétique (éval AB)__seed9200011__Astart,,A,A,victory,7,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 3,0,DIAMOND",3.788387,8.877224,4,3,176,121,0,0,0,0,0,1
